code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-1;1;1976;41 CENTRAL; 2TO DESPACHO;A1;W0942C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;6;PIEZA: # 1 Q: 6;1;Si;;;;;;;
1976-2;2;1976; 41 CENTRAL; 2TO DESPACHO;A2;W0942C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;9;PIEZA: # 2 Q: 9;1;Si;;;;;;;
1976-3;3;1976; 41 CENTRAL; 2TO DESPACHO;A3;W1542C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;24;PIEZA: # 1 Q: 24;1;Si;;;;;;;
1976-4;4;1976; 41 CENTRAL; 2TO DESPACHO;A4;W1542C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;31;PIEZA: # 2 Q: 31;1;Si;;;;;;;
1976-5;5;1976; 41 CENTRAL; 2TO DESPACHO;A5;W2142C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;13;PIEZA: # 1 Q: 13;1;Si;;;;;;;
1976-6;6;1976; 41 CENTRAL; 2TO DESPACHO;A6;W2142C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 2 Q: 12;1;Si;;;;;;;
1976-7;7;1976; 41 CENTRAL; 2TO DESPACHO;A7;W2442C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;34;PIEZA: # 1 Q: 34;1;Si;;;;;;;
1976-8;8;1976; 41 CENTRAL; 2TO DESPACHO;A8;W2442C_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 1 Q: 4;1;Si;;;;;;;
1976-9;9;1976; 41 CENTRAL; 2TO DESPACHO;A9;W2442C_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 2 Q: 4;1;Si;;;;;;;
1976-10;10;1976; 41 CENTRAL; 2TO DESPACHO;A10;W2442C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;2;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;39;PIEZA: # 2 Q: 39;1;Si;;;;;;;
1976-11;11;1976; 41 CENTRAL; 2TO DESPACHO;A11;W2742C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Costado;P_1067X305;1;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;13;PIEZA: # 1 Q: 13;1;Si;;;;;;;
